episode,sentiment,homer,marge,bart,lisa,maggie
07/16,0.922077922077922,7,2,0,8,0
07/17,1.25,7,2,1,0,0
07/18,1.0434782608695652,1,1,4,3,0
07/19,1.8275862068965518,5,6,0,0,0
07/20,1.8478260869565217,3,0,29,7,2
07/21,1.0,2,1,0,0,2
07/22,1.131578947368421,0,0,4,0,0
07/23,1.394736842105263,6,3,1,2,0
07/24,1.295774647887324,18,5,5,2,0
07/25,1.8085106382978724,3,1,10,22,1
08/01,0.8289473684210527,5,6,19,6,0
08/02,1.94,26,4,5,0,1
08/03,1.119047619047619,31,5,2,0,0
08/04,1.368421052631579,7,5,0,1,0
08/05,0.9078947368421053,9,9,14,2,1
08/06,2.627906976744186,18,19,3,4,0
08/07,1.2987012987012987,7,1,3,9,0
08/08,1.0561797752808988,5,3,1,4,0
08/09,1.032258064516129,22,19,1,0,0
08/10,1.0909090909090908,12,6,1,1,1
08/11,1.5510204081632653,9,12,1,0,0
08/12,1.3015873015873016,3,3,3,4,0
08/13,2.096774193548387,4,8,5,4,0
08/14,1.5492957746478873,12,2,1,0,0
08/15,1.2112676056338028,26,7,14,2,0
08/16,0.8857142857142857,1,1,18,6,1
08/17,1.1358024691358024,3,5,21,25,6
08/18,0.8089887640449438,9,7,5,1,0
08/19,2.128205128205128,2,0,29,0,0
08/20,2.0,6,3,16,1,1
08/21,1.064102564102564,2,1,0,20,1
08/22,1.4035087719298245,4,16,3,3,0
08/23,1.0769230769230769,22,6,4,2,0
08/24,2.122448979591837,3,4,3,2,1
08/25,1.11864406779661,2,6,13,10,0
09/01,0.9230769230769231,8,3,4,2,0
09/02,1.1714285714285715,1,1,2,2,0
09/03,1.109375,15,9,25,22,5
09/04,0.7126436781609196,7,6,12,9,0
09/05,1.7173913043478262,16,18,4,1,1
09/06,1.3064516129032258,11,3,15,2,0
09/07,1.7166666666666666,4,9,1,1,0
09/08,1.4367816091954022,11,4,2,16,0
09/09,1.2361111111111112,7,24,1,1,0
09/10,0.958904109589041,13,7,14,8,0
09/11,2.0,1,3,4,0,0
09/12,1.3142857142857143,10,5,10,3,0
09/13,1.6582278481012658,12,12,6,3,2
09/14,0.9295774647887324,4,6,3,4,0
09/15,0.9759036144578314,2,5,3,3,0
09/16,1.2894736842105263,26,3,1,1,0
09/17,1.0222222222222221,7,2,6,17,0
09/18,1.0140845070422535,1,1,10,2,1
09/19,1.3392857142857142,18,3,4,4,0
09/20,0.9662921348314607,8,4,2,1,1
09/21,1.1911764705882353,1,6,38,15,0
09/22,0.6388888888888888,17,7,3,3,0
09/23,1.0735294117647058,18,3,9,1,1
09/24,1.046875,6,2,8,19,0
09/25,1.7959183673469388,8,14,6,3,0
10/01,1.6785714285714286,3,2,2,23,0
10/02,1.8245614035087718,13,9,4,2,0
10/03,0.6979166666666666,1,5,24,5,1
10/04,0.7066666666666667,10,3,9,4,7
10/05,1.5666666666666667,30,6,4,0,0
10/06,1.1506849315068493,14,6,0,0,0
10/07,1.0348837209302326,2,4,5,24,0
10/08,1.1578947368421053,12,5,1,1,0
10/09,0.8933333333333333,16,2,4,2,3
10/10,1.196969696969697,27,4,2,2,0
10/11,0.7976190476190477,11,7,3,2,1
10/12,1.0985915492957747,9,2,4,2,0
10/13,1.4142857142857144,27,10,5,1,0
10/14,1.3658536585365855,9,7,0,0,0
10/15,1.15625,6,12,6,2,1
10/16,1.0,13,4,8,13,2
10/17,1.3174603174603174,10,3,3,6,0
10/18,1.2428571428571429,4,1,3,1,0
10/19,1.2173913043478262,19,10,2,3,1
10/20,1.5925925925925926,7,3,17,3,0
10/21,1.5492957746478873,5,1,0,2,0
10/22,1.7540983606557377,7,2,3,15,0
10/23,1.0985915492957747,12,7,5,3,1
11/01,1.0454545454545454,15,5,3,2,0
11/02,1.1333333333333333,5,6,25,3,0
11/03,0.9659090909090909,24,7,0,4,0
11/04,0.8421052631578947,16,8,7,9,0
11/05,0.8131868131868132,11,4,2,5,0
11/06,0.8857142857142857,21,2,3,3,18
11/07,1.2307692307692308,5,5,0,0,2
11/08,1.1551724137931034,9,11,1,1,0
11/09,1.4057971014492754,2,1,8,8,0
11/10,1.0845070422535212,9,2,12,4,0
11/11,0.9615384615384616,4,2,12,2,0
11/12,1.4406779661016949,12,11,3,0,0
11/13,1.4155844155844155,5,5,0,12,0
11/14,1.646153846153846,12,2,4,0,1
11/15,1.5636363636363637,25,3,4,4,2
11/16,1.0759493670886076,8,0,3,0,1
11/17,1.1951219512195121,7,4,26,15,2
11/18,1.161764705882353,13,2,9,3,2
11/19,0.9545454545454546,10,4,3,3,0
11/20,1.62,4,2,6,9,2
11/21,0.9078947368421053,7,14,8,5,2
11/22,1.096774193548387,11,7,9,5,1
12/01,1.0923076923076922,5,2,1,0,0
12/02,1.16,13,4,5,1,0
12/03,1.6666666666666667,9,1,3,4,2
12/04,1.1911764705882353,5,2,5,26,0
12/05,1.8518518518518519,7,1,4,1,0
12/06,0.8873239436619719,15,3,1,3,0
12/07,1.5238095238095237,4,5,4,0,2
12/08,1.123076923076923,8,1,7,3,0
12/09,1.1594202898550725,12,2,0,3,0
12/10,1.202127659574468,9,14,1,0,0
12/11,1.0655737704918034,2,1,6,1,0
12/12,1.375,12,8,12,9,1
12/13,0.8275862068965517,3,0,11,0,1
12/14,1.109375,0,3,13,7,0
12/15,1.1944444444444444,13,3,7,3,2
12/16,0.8809523809523809,4,2,0,9,3
12/17,1.1020408163265305,9,4,5,2,1
12/18,1.0,9,10,5,9,0
12/19,1.3943661971830985,8,1,0,1,0
